出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
23453.0,ポプラ社,23453.0,ポプラ社,7011101019789,株式会社ポプラ社,東京都千代田区麹町４丁目２番地６,-,28,2021-04-12T00:00:00+09:00,東京都/千代田区/麹町/４丁目/２番,139.73681833275765,35.68415818918736,5.0,7.0,1
6525.0,大和ハウス工業,6525.0,大和ハウス工業,6120001059662,大和ハウス工業株式会社,大阪府大阪市北区梅田３丁目３番５号,-,3466,2020-06-05T00:00:00+09:00,大阪府/大阪市/北区/梅田/３丁目/３番/５号,135.4926709699577,34.69956323799142,5.0,8.0,1
17691.0,スズケン,17691.0,スズケン,1180001017009,株式会社スズケン,愛知県名古屋市東区東片端町８番地,-,318,2018-04-03T00:00:00+09:00,愛知県/名古屋市/東区/東片端町/８番地,136.9114702705115,35.178872691464775,5.0,8.0,1
23546.0,村中医療器,23546.0,村中医療器,9120001090689,村中医療器株式会社,大阪府大阪市中央区船越町２丁目３番６号,-,11,2018-08-01T00:00:00+09:00,大阪府/大阪市/中央区/船越町/２丁目/３番/６号,135.51201968003897,34.68764504083791,5.0,8.0,1
23548.0,メディエントランス,23548.0,メディエントランス,7120901029805,メディエントランス株式会社,大阪府箕面市船場西２丁目１番１号,-,0,2019-10-30T00:00:00+09:00,大阪府/箕面市/船場西/２丁目/１番/１号,135.48919709045546,34.82213922328862,5.0,8.0,1
18929.0,丸紅ベンチャーズ,18929.0,丸紅ベンチャーズ,6010001201598,丸紅ベンチャーズ株式会社,東京都千代田区大手町１丁目４番２号,-,0,2021-06-08T00:00:00+09:00,東京都/千代田区/大手町/１丁目/４番/２号,139.7597061305588,35.690658073148576,5.0,8.0,1
6899.0,NTTファイナンス,6899.0,NTTファイナンス,8010401005011,ＮＴＴファイナンス株式会社,東京都港区港南１丁目２番７０号,-,187,2018-07-02T00:00:00+09:00,東京都/港区/港南/１丁目/２番,139.74383972746293,35.63476392861785,5.0,7.0,1
6896.0,アエリア,6896.0,アエリア,6010401048805,株式会社アエリア,東京都港区赤坂３丁目７番１３号,-,3,2018-05-07T00:00:00+09:00,東京都/港区/赤坂/３丁目/７番/１３号,139.73768863027942,35.67494924775995,5.0,8.0,1
23378.0,京都エンジェルファンド,23378.0,京都エンジェルファンド,4010401156188,京都エンジェルファンド株式会社,東京都港区西麻布４丁目１４−２４,-,1,2021-07-29T00:00:00+09:00,東京都/港区/西麻布/４丁目/１４番/２４号,139.7204907758874,35.657870705989325,5.0,8.0,1
6650.0,芙蓉総合リース,6650.0,芙蓉総合リース,3010001028689,芙蓉総合リース株式会社,東京都千代田区麹町５丁目１番地１,-,46,2022-05-09T00:00:00+09:00,東京都/千代田区/麹町/５丁目/１番,139.73463855261417,35.68328822847416,5.0,7.0,1
